fid,GRID_CODE,DATA_INCEN,CODI_FINAL,MUNICIPI,XMIN,XMAX,YMIN,YMAX,ANY,AREA
"593","2",10/04/94,"4394075",Pontils,1.38726307647,1.42859129378,41.4585355604,41.4799,"1994",2.61090801480634
"594","2",02/07/89,G89002014,Llançà,3.09843165593,3.13121459401,42.3484314762,42.3748,"1989",3.10625963186671
"595","2",22/08/05,"2005430186",Riba-Roja d'Ebre,0.40071783451,0.47728301471,41.2138279822,41.2382,"2005",5.75064270280804
"596","2",16/08/87,T0870048,La Febró,0.96727858765,0.98468404076,41.2603356842,41.2827,"1987",1.08540335991439
"597","2",06/07/86,"088600432",Sant Vicenç de Castellet,1.86109134729,1.89541138078,41.6676675758,41.6886,"1986",2.46825773429767
"598","2",11/08/03,"2003430059",Selva del Camp,1.10728146992,1.11263567851,41.2344127312,41.2421,"2003",0.244375745789546
"599","2",06/08/06,"2006170158",Campmany,2.89417132648,2.9309670806,42.3188405219,42.374,"2006",4.23376314379083
"600","2",04/07/94,"894508",Montmajor,1.67172321396614,2.03602885498763,41.9373549243722,42.1152585844398,"1994",229.190338087899
"601","2",20/07/98,"1998250078",Massoteres,1.2493482098,1.316500837,41.8080649714,41.8582,"1998",5.74141772091952
"602","2",13/10/11,"2011250017",Soriguera,1.19258890015,1.21892285923,42.3738383915,42.3856,"2011",1.71850010241259
"603","2",24/06/17,"2017250043",Agramunt,1.09943205789,1.10349828803,41.8253856895,41.8312,"2017",0.101015758205423
"604","2",18/07/90,T90012014,El Vendrell,1.49307274411,1.49695186723,41.1851801678,41.1899,"1990",0.10125031395595
"605","2",22/07/12,"2012170124",LA JONQUERA,2.82287817018,2.96912496762,42.255746662,42.4589,"2012",104.767524851685
"606","2",26/06/05,"2005080302",Martorell,1.92086847422,1.92717664503,41.4647016284,41.4706,"2005",0.18250056894833
"607","2",11/08/12,"2012170123",GER,1.83949187298,1.86298730237,42.4307509169,42.4535,"2012",2.50188286583735
"608","2",01/07/91,G91020004,Madremanya,2.97398919793,2.97882109289,41.9917443815,42.0068,"1991",0.33437604092468
"609","2",18/03/97,"2597022",Les,0.70940900752,0.71746782112,42.8222849785,42.8287,"1997",0.166400510915346
"610","2",07/08/93,"930800250",Sant Mateu de Bages,1.68833357557,1.69699187115,41.808972287,41.8196,"1993",0.289375892267497
"611","2",30/08/03,"2003430072",Vespella de Gaià,1.37434274099,1.38079958202,41.1943190642,41.2038,"2003",0.25937580614063
"612","2",24/01/94,"894006",Teià,2.32545511181,2.32995755137,41.5041680276,41.5085,"1994",0.115000356444745
"613","2",05/08/16,"2016430096",La Pobla de Montornà¨s,1.39141287069,1.42915999234,41.1977859347,41.2323,"2016",5.3324999999998
"614","2",12/04/98,"1998430045",Els Pallaresos,1.25750019823,1.26797363437,41.1666305891,41.1709,"1998",0.221875696075718
"615","2",18/08/86,"088600538",Aguilar de Segarra,1.60854790688,1.65403593415,41.7237390721,41.7386,"1986",2.56063291629059
"616","2",09/08/90,L90004012,Coll de Nargó,1.24224769635,1.2548067383,42.162028,42.1687,"1990",0.346522000000022
"617","2",15/06/14,"2014430100",Tivissa,0.66780229492,0.71528655595,40.9712661736,41.0086,"2014",8.91054577208684
"618","2",22/08/94,"2594176",Àger,0.66697812898,0.67067204595,42.0066298233,42.0107,"1994",0.0831252612957582
"619","2",12/07/12,"2012430136",VILAVERD,1.1683690544,1.17706577449,41.3416955302,41.354,"2012",0.371876166659784
"620","2",08/08/06,"2006250086",El Vilosell,0.93522266971,0.9472451053,41.3775073157,41.3809,"2006",0.15437547585897
"621","2",02/08/17,"2017250065",Vallbona de les Monges,1.11773470157,1.12744320998,41.515697585,41.5195,"2017",0.174233996019257
"622","2",19/07/93,"930800181",Castellbisbal,1.9693301119,1.97478857068,41.4983985894,41.5047,"1993",0.207500649637237
